ID,Name,Recipe [OPTIONAL],CoFID  ID,Food #1,Quantity (g/ml),CoFID  ID,Food #2,Quantity (g/ml),CoFID  ID,Food #3,Quantity (g/ml),CoFID  ID,Food #4,Quantity (g/ml),CoFID  ID,Food #5,Quantity (g/ml),CoFID  ID,Food #6,Quantity (g/ml),CoFID  ID,Food #7,Quantity (g/ml),CoFID  ID,Food #8,Quantity (g/ml),CoFID  ID,Food #9,Quantity (g/ml),CoFID  ID,Food #10,Quantity (g/ml)
159,Venison/deer stew,"Render the pork fat, sautée the cubes of meat, add the onions and garlic, sautée for 5 minutes, add tomatoes and peppers. Dust with paprika. Add red wine and water to barely cover and cook for 2 hours or until done. ",18-390,"Venison, meat only, raw",80,13-499,"Onions, raw",25,18-600,"Pork, fat, average, raw",20,13-517,"Tomatoes, standard, raw",20,13-318,"Peppers, capsicum, green, raw",20,17-752,"Wine, red",30,17-367,Salt,2,13-880,"Pepper, black",1,,,,,,
160,Split pea pottage,"Sautée onions and garlic, add bay leaf, paprika, split peas and cover with water. Cook until soft. Mix a bit of water, mustard, flour, salt and add it to thicken and season at the end.",13-499,"Onions, raw",30,13-244,"Garlic, raw",5,13-806,"Bay leaf, dried",1,13-879,Paprika,2,13-089,"Lentils, green and brown, whole, dried, raw",80,17-045,"Oil, sunflower",5,17-364,"Mustard, smooth",5,11-886,"Flour, wheat, white, plain, soft",5,17-367,Salt,1,,,
161,Creamy mushroom risotto,"Sautée shallots and garlic, add the mushrooms. Add rice and white wine, and water, cook the rice ocasionally stirring.",13-342,"Shallots, raw",20,17-045,"Oil, sunflower",5,13-244,"Garlic, raw",5,13-293,"Mushrooms, oyster, raw",50,13-505,"Mushrooms, white, raw",100,11-878,"Rice, white, Italian Arborio risotto, raw",80,17-367,Salt,1,17-755,"Wine, white, dry",30,,,20,,,
162,Pasta salad with fresh vegetables,"Cook pasta in salted water, let cool. Cut cucumber, bell pepper, celery, and tomatoes. Mix everything together, dress with pesto and lemon juice",11-716,"Pasta, white, dried, raw",60,13-523,"Cucumber, raw, flesh and skin",40,13-636,"Celery, raw",40,13-517,"Tomatoes, standard, raw",40,13-670,"Beans, chick peas, canned, re-heated, drained",50,17-622,"Pesto, green",20,14-277,"Lemon juice, fresh",3,17-367,Salt,1,,,,,,
163,Chickpea curry,"Sautée onion, garlic, ginger. Add the curry powder and salt. Add tomatoes and the chickpeas, cook for 10 minutes. ",13-499,"Onions, raw",30,13-244,"Garlic, raw",5,13-890,"Ginger, fresh",5,13-517,"Tomatoes, standard, raw",50,13-670,"Beans, chick peas, canned, re-heated, drained",100,13-876,Curry powder,3,17-367,Salt,1,,,,,,,,,
164,Creamy broccoli pasta with white bean,"Steam broccoli, Sautée onion and garlic, make the sauce by blending steamed broccoli, cashew nuts, soy drink, garlic, onion and nutritional yeast. Cook pasta in salted water. Top with white beans.",13-502,"Broccoli, green, raw",40,14-811,"Cashew nuts, kernel only, plain",10,12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",10,13-499,"Onions, raw",20,13-244,"Garlic, raw",5,17-517,Yeast extract,5,17-367,Salt,1,11-716,"Pasta, white, dried, raw",80,13-663,"Beans, butter, dried, boiled in unsalted water",50,,,
165,Peanut butter on toast with sour cherries,,11-1136,"Bread, brown, toasted",100,14-892,"Peanut butter, smooth",20,14-382,"Cherries, flesh and skin, raw",50,,,,,,,,,,,,,,,,,,,,,
166,Brussels sprouts and lentil salad,"Bake potatoes and brussels sprouts, cooke lentils, add olive oil, lemon juice, garlic, salt, pepper. ",13-177,"Brussels sprouts, raw",100,13-661,"Lentils, green and brown, whole, dried, boiled in unsalted water",80,13-491,"Potatoes, old, baked, flesh and skin",60,17-038,"Oil, olive",10,13-244,"Garlic, raw",1,14-277,"Lemon juice, fresh",5,17-367,Salt,2,,,,,,,,,
167,Black bean burritos,"Tortillas, black beans, brown rice, avocado, lettuce, tomatoes, lime",11-925,"Tortilla, wheat, soft",80,11-869,"Rice, brown, wholegrain, boiled in unsalted water",60,13-660,"Beans, red kidney, canned in water, re-heated, drained",50,14-039,"Avocado, Fuerte, flesh only",20,13-520,"Lettuce, average, raw",30,13-517,"Tomatoes, standard, raw",20,14-279,"Lime juice, fresh",3,,,,,,,,,
168,Tofu slices,,13-570,"Tofu, soya bean, steamed",100,17-721,"Soy sauce, light and dark varieties",3,,,,,,,,,,,,,,,,,,,,,,,,
169,Tortilla pizza ,"Tortilla, tomato sauce, fried mushrooms, olive oil, garlic, basil, ",11-925,"Tortilla, wheat, soft",100,50-1173,"Tomato sauce, homemade",50,17-038,"Oil, olive",5,13-244,"Garlic, raw",1,13-804,"Basil, fresh",1,13-507,"Mushrooms, white, fried in rapeseed oil",30,,,,,,,,,,,,
170,Potato and white bean salad,Bake potatoes with skin and white beans,13-491,"Potatoes, old, baked, flesh and skin",70,13-514,"Beans, green, raw",70,17-041,"Oil, rapeseed",10,17-367,Salt,1,,,,,,,,,,,,,,,,,,
171,Veggie burger,"Sautée onions and garlic, blend together with black beans, breadcrumbs and spices. Fry in a pan in a bit of sunflower oil.",13-499,"Onions, raw",25,13-244,"Garlic, raw",5,13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",80,11-1136,"Bread, brown, toasted",10,17-367,Salt,1,13-889,Cumin seeds,0.5,13-879,Paprika,1,13-878,"Oregano, dried, ground",1,17-045,"Oil, sunflower",5,,,
172,Baked sweet potatoes,,13-672,"Sweet potato, baked",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Steamed broccoli,,13-504,"Broccoli, green, steamed",80,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Buddha bowl,"Combine steamed rice, fresh vegetables and crispy tofu in a bowl, add tahini dressing",11-860,"Rice, white, basmati, easy cook, boiled in unsalted water",140,13-448,"Carrots, young, raw",30,14-386,"Avocado, Hass, flesh only",30,13-523,"Cucumber, raw, flesh and skin",50,13-670,"Beans, chick peas, canned, re-heated, drained",50,13-190,"Cabbage, red, raw",30,13-571,"Tofu, soya bean, steamed, fried",70,14-847,Tahini paste,30,,,,,,
175,Cold potato salad,"Peel and boil cubes of potatoes in salted water, let it cool. Soak thin slices of shalllots in ice water, later drain. Mix the mayonnaise, joghurt, mustard, white pepper, lemon juice, salt and sugar. Mix potatoes, shallots and the sauce. Preferably let it sit in the fridge overnight. ",13-489,"Potatoes, old, raw, flesh only",150,13-342,"Shallots, raw",30,17-679,"Mayonnaise, reduced fat",20,12-184,"Yogurt, whole milk, plain",30,17-364,"Mustard, smooth",5,14-277,"Lemon juice, fresh",2,17-063,"Sugar, white",1,13-881,"Pepper, white",0.5,,,,,,
176,Pasta with zakuska and beans,"Boil pasta, then add zacusca and beans",11-716,"Pasta, white, dried, raw",60,13-524,"Pepper, capsicum, red, raw",30,13-669,"Aubergine, flesh and skin, roasted in rapeseed oil",25,13-499,"Onions, raw",10,17-038,"Oil, olive",5,13-530,"Tomatoes, canned, whole contents",30,17-367,Salt,1,13-880,"Pepper, black",0.5,13-663,"Beans, butter, dried, boiled in unsalted water",80,,,
177,Sautéed onions and beans,"Sautée onions, add canned beans and tomatoe sauce",13-499,"Onions, raw",50,13-666,"Beans, cannellini, canned, re-heated, drained",100,13-530,"Tomatoes, canned, whole contents",50,17-045,"Oil, sunflower",10,13-835,"Marjoram, dried",1,17-367,Salt,1,,,,,,,,,,,,
178,"Hungarian cottage cheese spread ""kőrözött""","Cottage cheese spread with paprika, onions and ground cumin",12-539,"Cheese, cottage, plain",80,17-656,"Butter, spreadable, light (60% fat)",10,13-499,"Onions, raw",10,13-879,Paprika,1,13-889,Cumin seeds,1,17-367,Salt,2,,,,,,,,,,,,
179,Creamcheese,,12-541,"Cheese, spreadable, soft white, low fat",50,13-887,"Chives, fresh",2,,,,,,,,,,,,,,,,,,,,,,,,
180,Zucchini and carrot fritters with garlic yogurt,"Squeeze the salted, shredded vegetables, mix them with an egg and flour, then form pattys and fry them in oil. Serve them with savoury yogurt",13-627,"Courgette, raw",70,13-496,"Carrots, old, raw",40,13-489,"Potatoes, old, raw, flesh only",70,13-244,"Garlic, raw",2,12-937,"Eggs, chicken, whole, raw",50,11-886,"Flour, wheat, white, plain, soft",20,12-555,"Yogurt, Greek style, plain",100,13-878,"Oregano, dried, ground",1,17-041,"Oil, rapeseed",10,17-367,Salt,2
181,Beetroot risotto with goat cheese,"Sautée shallots and garlic, add cubes of beetroot. Add rice and white wine, and water, cook the rice ocasionally stirring. Finish with butter. Top with goat cheese.",13-342,"Shallots, raw",20,17-045,"Oil, sunflower",5,13-244,"Garlic, raw",5,13-164,"Beetroot, raw",50,17-661,"Butter, unsalted",10,11-878,"Rice, white, Italian Arborio risotto, raw",80,17-367,Salt,1,17-755,"Wine, white, dry",30,12-357,"Cheese, goats milk, full fat, soft, white rind",20,,,
182,Greek salad,,13-523,"Cucumber, raw, flesh and skin",70,13-517,"Tomatoes, standard, raw",70,13-499,"Onions, raw",50,12-525,"Cheese, Feta",50,14-340,"Olives, green, in brine, drained, flesh and skin",30,17-038,"Oil, olive",5,,,,,,,,,,,,
183,Veggie stir-fry with eggs,"Sautée the vegetables, add leftover rice, and when it's almost done, whisk the eggs in",13-624,"Leeks, raw",30,13-244,"Garlic, raw",1,13-496,"Carrots, old, raw",30,13-502,"Broccoli, green, raw",30,13-318,"Peppers, capsicum, green, raw",30,11-858,"Rice, white, basmati, boiled in unsalted water",60,12-937,"Eggs, chicken, whole, raw",80,,,,,,,,,
184,Turkish eggs,"Mix the yogurt with garlic, salt and peppers, add the soft boiled egg in it, serve it with toast",12-940,"Eggs, chicken, whole, boiled",60,12-555,"Yogurt, Greek style, plain",150,13-244,"Garlic, raw",1,13-879,Paprika,1,17-367,Salt,1,13-880,"Pepper, black",0.5,,,,,,,,,,,,
185,Salad with boiled eggs,"Lettuce, tomatoes, corn, celery sticks, spring onion and hard boiled eggs with a savoury yogurt dressing",13-520,"Lettuce, average, raw",50,13-517,"Tomatoes, standard, raw",50,13-529,"Sweetcorn kernels, canned in water, drained",50,13-636,"Celery, raw",30,13-352,"Spring onions, bulbs and tops, raw",10,12-379,"Yogurt, low fat, plain",30,17-364,"Mustard, smooth",3,14-277,"Lemon juice, fresh",3,17-367,Salt,1,12-940,"Eggs, chicken, whole, boiled",100
186,Salmon filet,,16-486,"Salmon, wild, grilled",120,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Chicken skewers with peppers, onion, zucchini",,18-323,"Chicken, breast, grilled without skin, meat only",100,13-627,"Courgette, raw",50,13-318,"Peppers, capsicum, green, raw",40,13-499,"Onions, raw",40,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,,,,,,,
188,Roasted chicken wings,,19-652,"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",200,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Duck rilette,"Sear the duck (preferably duck leg) in the lard, add the spices and the wine. Let the alcohol evaporate. Let slowly cook/confit, until completely tender and it falls of the bone. Remove the bones and shred the meat, pack tightly into jars, pouring the fat on top.",18-371,"Duck, raw, meat, fat and skin",80,17-010,Lard,30,17-755,"Wine, white, dry",10,13-844,"Parsley, fresh",5,13-847,"Pepper, cayenne, ground",0.5,14-369,"Orange juice, freshly squeezed",10,17-367,Salt,2,13-880,"Pepper, black",0.5,,,,,,
190,Frankfurter,,19-495,Frankfurter,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Beef tartare,"Cut the beef into small cubes, mince the rest of the ingredients into very small pieces, mix everything together",18-016,"Beef, fillet steak, raw, lean",80,13-342,"Shallots, raw",10,17-364,"Mustard, smooth",3,13-246,"Gherkins, pickled, drained",5,16-448,"Anchovies, canned in oil, drained",2,12-939,"Eggs, chicken, yolk, raw",20,17-723,Worcestershire sauce,1,13-880,"Pepper, black",0.5,,,,,,
192,Beef and veggie soup,"Simmer the oxtail for 2 hours in water, skim the scum in the beggining. Cut the vegetables into big chucks, add them to the pot with the salt and everything. Cook for an other hour, or until done.",18-419,"Oxtail, raw",80,13-496,"Carrots, old, raw",40,13-219,"Celeriac, raw",40,13-312,"Parsnip, raw",20,13-489,"Potatoes, old, raw, flesh only",20,13-844,"Parsley, fresh",5,13-499,"Onions, raw",20,13-636,"Celery, raw",20,17-367,Salt,2,,,
193,Chili con carne,,19-478,"Chilli con carne, homemade",250,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Brassói-style fried pork,"Fry small cubes of pork with onions and garlic, seasone with paprika",18-549,"Pork, shoulder joint (collar), raw, lean and fat",100,13-499,"Onions, raw",50,13-244,"Garlic, raw",1,17-367,Salt,1,13-880,"Pepper, black",0.5,17-045,"Oil, sunflower",10,,,,,,,,,,,,
195,Bacon wrapped asparagus,,13-639,"Asparagus, grilled",120,19-018,"Bacon rashers, streaky, grilled",50,,,,,,,,,,,,,,,,,,,,,,,,
196,Couscous,,11-902,"Couscous, plain, cooked",150,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Roasted mushrooms,"Panfry mushrooms in oil, season with garlic powder",13-505,"Mushrooms, white, raw",60,13-830,Garlic powder,1,17-367,Salt,1,13-880,"Pepper, black",0.5,,,,,,,,,,,,,,,,,,
198,Sauerkraut,,13-336,Sauerkraut,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Bulgur salad,Cooked bulgur with fresh vegetables and herbs,11-904,"Wheat, bulgur, raw",60,13-523,"Cucumber, raw, flesh and skin",40,13-519,"Tomatoes, cherry, raw",40,13-526,"Pepper, capsicum, yellow, raw",40,13-844,"Parsley, fresh",1,17-367,Salt,1,,,,,,,,,,,,
200,Tzatziki,"Squeeze the salted and shredded cucumber, then mix it with yogurt and spices",13-523,"Cucumber, raw, flesh and skin",100,12-555,"Yogurt, Greek style, plain",50,13-824,"Dill, fresh",1,13-244,"Garlic, raw",1,13-880,"Pepper, black",0.5,,,,,,,,,,,,,,,
201,Liver pâté,"Sauteé onion and garlic in butter, add the livers, white wine, marjoram and bay leaf. Cook until done. Add salt and black pepper. Take out the bay leaf and blend until smooth. Add water if too thick.",18-411,"Liver, chicken, raw",60,13-499,"Onions, raw",30,13-244,"Garlic, raw",5,17-661,"Butter, unsalted",20,13-835,"Marjoram, dried",1,17-367,Salt,1,13-880,"Pepper, black",0.5,13-806,"Bay leaf, dried",1,17-755,"Wine, white, dry",20,,,
202,Sautéed vegetables,,13-161,"Aubergine, raw",60,13-499,"Onions, raw",10,13-502,"Broccoli, green, raw",30,13-448,"Carrots, young, raw",30,13-244,"Garlic, raw",1,17-367,Salt,1,17-041,"Oil, rapeseed",10,,,,,,,,,
203,Lentil pottage,"Sautée onions and garlic, add bay leaf, paprika, lentils and cover with water. Cook until lentils are soft. Mix a bit of water, mustard, flour, salt and add it to thicken and season at the end.",13-499,"Onions, raw",30,13-244,"Garlic, raw",5,13-806,"Bay leaf, dried",1,13-879,Paprika,2,13-089,"Lentils, green and brown, whole, dried, raw",80,17-045,"Oil, sunflower",5,17-364,"Mustard, smooth",5,11-886,"Flour, wheat, white, plain, soft",5,17-367,Salt,1,,,
204,Spaghetti bolognese ,Spaghetti with minced meat ragu,19-628,"Spaghetti bolognese, homemade",200,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Mushroom stew,Onion and paprika based mushroom stew ,13-505,"Mushrooms, white, raw",200,13-499,"Onions, raw",30,17-045,"Oil, sunflower",10,13-879,Paprika,2,13-517,"Tomatoes, standard, raw",20,13-526,"Pepper, capsicum, yellow, raw",10,17-367,Salt,2,,,,,,,,,
206,Chicken breast in breadcrumb,Bread the chicken breast in flour then beaten egg then breadcrumbs. Deep fry at 180 celsius in oil until golden brown.,18-326,"Chicken, breast, strips, stir-fried in corn oil",120,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Roasted duck breast,"Salt the duck breasts, let them sit for 30 minutes. Sear the duck breast in a pan, then finish in the oven at 150c for 8 minutes (or longer for well-done), let it rest for 5 minutes before eating. Shred red cabbage and apples, sautée onions, add the apple and cabbage. Add balsamic vinegar, salt and carawaz seeds, cook on low heat covered for an hour.",18-371,"Duck, raw, meat, fat and skin",100,13-190,"Cabbage, red, raw",150,14-362,"Apples, cooking, raw, flesh only, peeled",50,17-045,"Oil, sunflower",5,13-499,"Onions, raw",30,17-367,Salt,1,13-808,Caraway seeds,1,17-339,Vinegar,5,,,,,,
