ID,Name,Description [OPTIONAL],Contains animal products?,Type,Autumn,Winter,Spring,Summer,ID,Dish #1,ID,Dish #2,ID,Dish #3,ID,Dish #4,ID,Dish #5,ID,Dish #6,ID,Dish #7,ID,Dish #8,ID,Dish #9,ID,Dish #10
1,Scrambled eggs and toast,"Scrambled eggs with onion, hot green pepper and sourdough bread",Egg,Breakfast,Y,Y,Y,Y,1,Scrambled eggs,2,Whole meal toast,12,Baby spinach salad,,,,,,,,,,,,,,
2,Hummus on toast,Hummus on whole wheat toast and pumpkin seeds,Plant based,Breakfast,Y,Y,Y,Y,3,"Hummus, plain",2,Whole meal toast,5,"Carrot, beetroot and apple salad ",,,,,,,,,,,,,,
3,Poppy seed oatmeal,"Porridge with milk, vanilla, poppy seed, sour cherries",Dairy,Breakfast,Y,Y,Y,Y,6,Poppy seed oatmeal,,,,,,,,,,,,,,,,,,
4,Cottage cheese with dill on toast,"Salty cottage cheese spread with dill, rye bread",Dairy,Breakfast,Y,Y,Y,Y,7,Salty cottage cheese spread with dill,11,Ciabatta,10,"Fresh salad with red cabbage, carrot, onion, tomatoes ",,,,,,,,,,,,,,
5,Zacusca on bread stick with roasted chickpeas on top,Eggplant and bell pepper spread on hungarian twisted bread stick with roasted chickpeas on top,Plant based,Breakfast,Y,N,N,Y,8,Zacusca,13,"Breadsticks, plain",9,Crispy chickpeas,,,,,,,,,,,,,,
6,Lentil pottage with falafel,Hearty lentil stew,Plant based,Lunch,Y,Y,Y,Y,203,Lentil pottage,111,Falafel,,,,,,,,,,,,,,,,
7,Spaghetti bolognese ,Spaghetti with minced meat ragu,Red meat,Lunch,Y,Y,Y,Y,204,Spaghetti bolognese ,,,,,,,,,,,,,,,,,,
8,Mushroom stew with cooked potatoes and parsley,Onion and paprika based mushroom stew ,Plant based,Lunch,Y,Y,Y,Y,205,Mushroom stew,115,Cooked potatoes with parsley,,,,,,,,,,,,,,,,
9,Chicken breast in breadcrumb with steamed vegetables and white rice,"Deepfried chicken breast with white rice and steamed green peas, carrot",Other meat,Lunch,Y,Y,Y,Y,206,Chicken breast in breadcrumb,222,Steamed carrot and peas,119,Steamed white rice,,,,,,,,,,,,,,
10,Roasted duck breast with braised red cabbage and apple,,Other meat,Lunch,Y,Y,Y,Y,207,Roasted duck breast,221,Braised red cabbage and apple,,,,,,,,,,,,,,,,
11,Tofu and vegetables stirfry,,Plant based,Dinner,Y,Y,Y,Y,208,Tofu and vegetables stirfry,,,,,,,,,,,,,,,,,,
12,Shaksuka with pita bread,"Poached eggs in a souce of tomatoes, peppers, onion, garlic, paprika",Egg,Dinner,Y,Y,Y,Y,209,Shaksuka,24,Pitta bread,,,,,,,,,,,,,,,,
13,Warm quinoa salad,"Baked root vegetables, quinoa, beans, topped with walnut and sesame seeds",Plant based,Dinner,Y,Y,Y,Y,210,Warm quinoa salad,,,,,,,,,,,,,,,,,,
14,"Tortilla wrap filled with egg, goat cheese, rocket salad and tomato",,Egg,Dinner,Y,Y,Y,Y,211,"Tortilla wrap filled with egg, goat cheese, rocket salad and tomato",,,,,,,,,,,,,,,,,,
15,Liver pâté with ciabatta and grapes,,Other meat,Dinner,Y,Y,N,N,201,Liver pâté,11,Ciabatta,101,grapes,,,,,,,,,,,,,,
16,Apples with almonds,,Plant based,Snack,Y,Y,Y,Y,66,apple,212,Almond,,,,,,,,,,,,,,,,
17,"Yogurt with granola, pear",,Dairy,Snack,Y,Y,N,Y,49,Yogurt,26,Chocolate granola,72,Pear ,,,,,,,,,,,,,,
18,Kefir with bran cracker,,Dairy,Snack,Y,Y,Y,Y,87,Kefir,100,bran crackers,,,,,,,,,,,,,,,,
19,"Carrot, cucumber and celery sticks with blocks of hard cheese",,Dairy,Snack,Y,Y,Y,Y,71,Carrot,76,Cucumber,75,Celery sticks,213,Hard cheese,,,,,,,,,,,,
20,Blueberry smoothie,"Banana, frozen blueberries, baby spinach, cashew nuts, soy milk",Plant based,Snack,Y,Y,Y,Y,214,Blueberry smoothie,,,,,,,,,,,,,,,,,,
21,Beetroot hummus on breadstick with broccoli sprouts,,Plant based,Breakfast,Y,Y,Y,Y,14,"Hummus, beetroot",13,"Breadsticks, plain",16,Broccoli sprouts,,,,,,,,,,,,,,
22,Lentilspread on multigrain buns,,Plant based,Breakfast,Y,Y,Y,Y,17,Lentil spread,18,Multigrain bread,,,,,,,,,,,,,,,,
23,White bean spread with sun-dried tomatoes and crispy tortilla,,Plant based,Breakfast,Y,Y,Y,Y,19,White bean spread with sun-dried tomatoes,20,Crispy tortilla,75,Celery sticks,,,,,,,,,,,,,,
24,Avocado on toast with black sesame seed and crispy chickpeas ,,Plant based,Breakfast,Y,Y,Y,Y,2,Whole meal toast,21,Avocado,9,Crispy chickpeas,22,Black sesame seed,12,Baby spinach salad,,,,,,,,,,
25,Tofu spread on multigrain bread and radish,,Plant based,Breakfast,Y,Y,Y,N,23,Tofu spread,18,Multigrain bread,215,"Radish, red",,,,,,,,,,,,,,
26,Soy yogurt with granola and plums,,Plant based,Breakfast,Y,N,N,Y,25,Soy yogurt,26,Chocolate granola,27,Plum,,,,,,,,,,,,,,
27,Pink smoothie ,"Bananas, oats, frozen strawberries and raspberries, soy milk, cinnamon ",Plant based,Breakfast,Y,Y,Y,Y,28,Pink smoothie ,,,,,,,,,,,,,,,,,,
28,Nice cream with chocolate granola,"Frozen banana, cocoa powder, oat drink, espresso shot/instant coffee mixed, topped with chocolate granola",Plant based,Breakfast,Y,Y,Y,Y,29,Nice cream,26,Chocolate granola,,,,,,,,,,,,,,,,
29,Carrotcake porridge,"Oatmeal with shredded carrot, cinnamon and walnut ",Plant based,Breakfast,Y,Y,Y,Y,30,Carrotcake porridge,,,,,,,,,,,,,,,,,,
30,Applepie porridge ,Porridge with shredded apple and cinnamon,Plant based,Breakfast,Y,Y,Y,Y,31,Applepie porridge ,,,,,,,,,,,,,,,,,,
31,Pumpkin-spiced porridge ,"Porridge with pumpkin purée, and pumpkin spice mix (cinnamon, nutmeg, cloves)",Plant based,Breakfast,Y,Y,Y,Y,32,Pumpkin-spiced porridge ,,,,,,,,,,,,,,,,,,
32,Buckwheat chocolate porridge,Buckwheat porridge with cocoa and coconut milk,Plant based,Breakfast,Y,Y,Y,Y,33,Buckwheat chocolate porridge,105,sour cherries,,,,,,,,,,,,,,,,
33,Peanut butter on toast with raspberries ,,Plant based,Breakfast,N,N,N,Y,39,Peanut butter,2,Whole meal toast,38,Raspberries ,,,,,,,,,,,,,,
34,Bananabread,,Plant based,Breakfast,Y,Y,Y,Y,40,Bananabread,,,,,,,,,,,,,,,,,,
35,Vegan pancake topped with peanut butter and jam,,Plant based,Breakfast,Y,Y,Y,Y,41,Vegan banana pancake,39,Peanut butter,37,Strawberry jam,,,,,,,,,,,,,,
36,Hungarian ratatuille with bread,"Sauteéd onions, peppers, tomatoes and smoked paprika, served with whole grain toast",Plant based,Breakfast,Y,N,N,Y,42,Hungarian ratatuille,15,Sourdough bread,,,,,,,,,,,,,,,,
37,Cream quark with roasted pumpkin and nuts,,Dairy,Breakfast,Y,Y,N,N,83,"Butternut squash, baked",43,Cream quark,36,"Walnuts, roasted",,,,,,,,,,,,,,
38,Cheese sandwich ,"Hard cheese, lettuce, tomatoes on buttered white bread",Dairy,Breakfast,Y,Y,Y,Y,44,Cheese sandwich ,,,,,,,,,,,,,,,,,,
39,Cheesy scones with vegetables,,Dairy,Breakfast,Y,Y,Y,Y,54,"Scones, cheese",71,Carrot,75,Celery sticks,,,,,,,,,,,,,,
40,Peanut butter on toast with yogurt and peach ,,Dairy,Breakfast,Y,N,N,Y,39,Peanut butter,2,Whole meal toast,49,Yogurt,50,Peach,,,,,,,,,,,,
41,Guacamole on toast with feta cheese,,Dairy,Breakfast,Y,Y,Y,Y,51,Guacamole,2,Whole meal toast,52,Feta cheese,,,,,,,,,,,,,,
42,Firtatta ,Baked veggie omlett with apple and beetroot salad,Egg,Breakfast,Y,N,Y,Y,216,Frittata with courgette and potatoes,5,"Carrot, beetroot and apple salad ",,,,,,,,,,,,,,,,
43,Sunny side up eggs with multigrain bun,,Egg,Breakfast,Y,Y,Y,Y,58,Fried eggs,18,Multigrain bread,116,Tomato salad,,,,,,,,,,,,,,
44,Scrambled oats,Panfried oats with yoghurt and fruits,Egg,Breakfast,Y,Y,Y,Y,59,Scrambled oats,66,apple,,,,,,,,,,,,,,,,
45,Eggplant spread with soft boiled eggs on toast,,Egg,Breakfast,Y,N,N,Y,56,Soft boiled eggs,60,Eggplant spread,107,Rye bread,,,,,,,,,,,,,,
46,Egg spread with multigrain bread,,Egg,Breakfast,Y,Y,Y,Y,61,Egg spread,18,Multigrain bread,76,Cucumber,,,,,,,,,,,,,,
47,Hummus on toast with poached egg and smoked paprika,,Egg,Breakfast,Y,Y,Y,Y,62,Poached egg,3,"Hummus, plain",53,Smoked paprika,2,Whole meal toast,,,,,,,,,,,,
48,Tuna and corn salad with tortilla,"Canned tuna, corn, chopped red onion and olives",Other meat,Breakfast,Y,Y,Y,Y,63,Tuna and corn salad,20,Crispy tortilla,,,,,,,,,,,,,,,,
49,Chicken ham and eggs with ciabatta,,Other meat,Breakfast,Y,Y,Y,Y,64,Chicken ham and eggs,11,Ciabatta,220,Tomatoes,,,,,,,,,,,,,,
50,Hungarian smoked sausage sandwich ,"Hungarian smoked, spicy sausage with hot green pepper and red onions, white bread ",Red meat,Breakfast,Y,Y,Y,Y,65,Hungarian smoked sausage sandwich ,,,,,,,,,,,,,,,,,,
51,Broccoli dip with breadstick,,Plant based,Snack,Y,N,Y,Y,70,Broccoli dip,13,"Breadsticks, plain",,,,,,,,,,,,,,,,
52,"Carrot, kohlrabi, walnut  ",,Plant based,Snack,Y,Y,Y,Y,71,Carrot,68,Kohlrabi,36,"Walnuts, roasted",,,,,,,,,,,,,,
53,Pear and pecans,,Plant based,Snack,Y,Y,N,Y,72,Pear ,67,pecans,,,,,,,,,,,,,,,,
54,Peach and oat biscuits,,Plant based,Snack,Y,N,N,Y,50,Peach,73,Oat biscuits,,,,,,,,,,,,,,,,
55,Popcorn,,Plant based,Snack,Y,Y,Y,Y,74,Popcorn,,,,,,,,,,,,,,,,,,
56,Celery sticks and carrot with hummus,,Plant based,Snack,Y,Y,Y,Y,75,Celery sticks,71,Carrot,3,"Hummus, plain",,,,,,,,,,,,,,
57,"Cucumber, bran crackers",,Plant based,Snack,Y,Y,Y,Y,100,bran crackers,76,Cucumber,,,,,,,,,,,,,,,,
58,Soy yogurt with rolled oats and grapes,,Plant based,Snack,Y,N,N,Y,25,Soy yogurt,88,Rolled oats,101,grapes,,,,,,,,,,,,,,
59,"Cashew nut, raisin",,Plant based,Snack,Y,Y,Y,Y,78,Cashew nut,102,Raisin,,,,,,,,,,,,,,,,
60,"Apple, almond butter",,Plant based,Snack,Y,Y,Y,Y,66,apple,79,Almond butter,,,,,,,,,,,,,,,,
61,"Cornflakes, soy yogurt ",,Plant based,Snack,Y,Y,Y,Y,25,Soy yogurt,80,Cornflakes,,,,,,,,,,,,,,,,
62,"Banana, peanut butter",,Plant based,Snack,Y,Y,Y,Y,81,Banana,39,Peanut butter,,,,,,,,,,,,,,,,
63,Dried apple slices with roasted walnuts,,Plant based,Snack,Y,Y,Y,Y,82,"Apples, dried",36,"Walnuts, roasted",,,,,,,,,,,,,,,,
64,"Butternut squash, baked",,Plant based,Snack,Y,Y,N,N,83,"Butternut squash, baked",,,,,,,,,,,,,,,,,,
65,Watermelon,,Plant based,Snack,Y,N,N,N,84,Watermelon,,,,,,,,,,,,,,,,,,
66,Caprese salad,Mozzarella with fresh tomatoes and basil,Dairy,Snack,Y,N,N,Y,85,Caprese salad,,,,,,,,,,,,,,,,,,
67,Plum jam on milk bread with yogurt,,Dairy,Snack,Y,Y,Y,Y,86,Plum jam,104,Milk bread,49,Yogurt,,,,,,,,,,,,,,
68,"Kefir and salt sticks ""sós ropi""",,Dairy,Snack,Y,Y,Y,Y,87,Kefir,103,Hungarian salt sticks ,,,,,,,,,,,,,,,,
69,Yogurt with rolled oats and sour cherries,,Dairy,Snack,Y,Y,Y,Y,49,Yogurt,88,Rolled oats,105,sour cherries,,,,,,,,,,,,,,
70,Cottage cheese with spelt cracker,,Dairy,Snack,Y,Y,Y,Y,89,Cottage cheese,106,spelt cracker,,,,,,,,,,,,,,,,
71,Soft boiled eggs with celery sticks and cucumber ,,Egg,Snack,Y,Y,Y,Y,56,Soft boiled eggs,75,Celery sticks,76,Cucumber,,,,,,,,,,,,,,
72,American pancakes with apple sauce,,Egg,Snack,Y,Y,Y,Y,91,American pancakes,90,Apple sauce,,,,,,,,,,,,,,,,
73,Apple muffins ,,Egg,Snack,Y,Y,Y,Y,92,Apple muffins ,,,,,,,,,,,,,,,,,,
74,Hard boiled eggs with olive and cracker,,Egg,Snack,Y,Y,Y,Y,55,Hard boiled eggs,93,Olives,100,bran crackers,,,,,,,,,,,,,,
75,Egg muffins ,Baked egg cups with sautéed baby spinach and diced bell pepper in muffin tins,Egg,Snack,Y,Y,Y,Y,94,Egg muffins ,,,,,,,,,,,,,,,,,,
76,French toast with banana,,Egg,Snack,Y,Y,Y,Y,95,French toast,,,,,,,,,,,,,,,,,,
77,Smoked salmon on rye bread with dill,,Other meat,Snack,Y,Y,Y,Y,96,Smoked salmon,108,Dill,107,Rye bread,,,,,,,,,,,,,,
78,Chicken ham with cucumber and crackers ,,Other meat,Snack,Y,Y,Y,Y,97,Chicken ham,76,Cucumber,106,spelt cracker,,,,,,,,,,,,,,
79,Hungarian white mold salami with baguette and hot peppers ,,Red meat,Snack,Y,Y,Y,Y,98,Hungarian white mold salami,47,Hot green pepper,48,Baguette,,,,,,,,,,,,,,
80,Prosciutto wrapped melons,,Red meat,Snack,N,N,N,Y,46,Melon,99,Prosciutto,,,,,,,,,,,,,,,,
81,Green pea pottage with garlic bread,,Plant based,Lunch,Y,Y,Y,Y,109,Green pea pottage,110,Garlic bread,,,,,,,,,,,,,,,,
82,"Marrow squash pottage with dill, topped with falafel",,Plant based,Lunch,Y,N,N,Y,126,Marrow squash pottage with dill,111,Falafel,,,,,,,,,,,,,,,,
83,Roasted veggie soup with toasted chickpeas and croutons,"Roasted bell peppers, tomatoes, and courgette blended with cashew nuts and nutritional yeast",Plant based,Lunch,Y,N,N,Y,127,Roasted veggie soup,112,Croutons,9,Crispy chickpeas,,,,,,,,,,,,,,
84,"Chili sin carne, tortilla",Beans with corn in a spicy tomato ragou with air-fried tortilla,Plant based,Lunch,Y,Y,Y,Y,128,Chili sin carne,20,Crispy tortilla,,,,,,,,,,,,,,,,
85,Vegetables in breadcrumbs with corn rice,"Mushrooms, broccoli and eggplants in breadcrumbs, deepfried",Plant based,Lunch,Y,N,N,Y,129,Vegetables in breadcrumbs,113,Sweetcorn rice,,,,,,,,,,,,,,,,
86,"Tofu and rice stew with paprika and fermented pickles ""rizses hús""","Hungarian meat and rice stew (meat substituted with tofu): Sautéd onions, tomatoes, red peppers and paprika with cubes of plain tofu and rice",Plant based,Lunch,Y,Y,Y,Y,130,"Tofu and rice stew with paprika ""rizses hús""",114,Fermented pickles,,,,,,,,,,,,,,,,
87,"Stuffed aubergine, vegan","Stuffed aubergine filled with a mixture of rice, lentils, onions, and spices.",Plant based,Lunch,Y,N,N,Y,131,"Stuffed aubergine, vegan",,,,,,,,,,,,,,,,,,
88,Chickpea wrap,"Mashed chickpeas and avocado, diced red onions and tomatoes with lettuce, wrapped in a whole wheat tortilla",Plant based,Lunch,Y,Y,Y,Y,132,Chickpea wrap,,,,,,,,,,,,,,,,,,
89,"Stuffed peppers, vegan","Peppers filled with a mixture of rice, beans, corn, and tomatoes, and seasoned with cumin, chili, and other spices",Plant based,Lunch,Y,Y,Y,Y,133,"Stuffed peppers, vegan",,,,,,,,,,,,,,,,,,
90,"Layered cauliflower casserole, vegan","Mashed tofu ragou with onions and paprika, steamed rice and cauliflower, topped with vegan cream",Plant based,Lunch,Y,N,Y,Y,134,"Layered cauliflower casserole, vegan",,,,,,,,,,,,,,,,,,
91,Cabbage pasta,"Sautéed onions and cabbage with wide pasta (csusza tészta), seasoned with salt and pepper",Plant based,Lunch,Y,Y,Y,Y,135,Cabbage pasta,,,,,,,,,,,,,,,,,,
92,Potato pasta with pickled beetroot,"Sautéed onions and potatoes with wide pasta (csusza tészta), seasoned with salt and pepper",Plant based,Lunch,Y,Y,Y,Y,136,Potato pasta,121,Pickled beetroot,,,,,,,,,,,,,,,,
93,"Fussili with green pesto, courgettes and chickpeas",,Plant based,Lunch,Y,N,N,Y,137,"Fusilli with green pesto, courgettes and chickpeas",,,,,,,,,,,,,,,,,,
94,"Red lentil pottage with potatoes, topped with pumpkin seeds",,Plant based,Lunch,Y,Y,Y,Y,138,Red lentil pottage,34,Pumpkin seed,,,,,,,,,,,,,,,,
95,Spinach pottage with potatoes,,Plant based,Lunch,Y,Y,Y,Y,139,Spinach pottage,115,Cooked potatoes with parsley,,,,,,,,,,,,,,,,
96,Vegan bolognese spaghetti,Lentil based vegan bolognese with nutritional yeast,Plant based,Lunch,Y,Y,Y,Y,140,Vegan bolognese spaghetti,,,,,,,,,,,,,,,,,,
97,Oven baked vegetables and tofu with tahini dressing,"Oven baked jerusalem artichokes, beetroot, carrots, cabbage and tofu cubes, finished with a tahini based dressing",Plant based,Lunch,Y,Y,Y,N,141,Oven baked vegetables and tofu,125,Tahini dressing,,,,,,,,,,,,,,,,
98,Green pea soup; Poppy seed pasta,,Plant based,Lunch,Y,Y,Y,Y,148,Green pea soup,118,Poppy seed pasta,,,,,,,,,,,,,,,,
99,Hungarian ratatuille with eggs and bread,,Egg,Lunch,Y,N,N,Y,143,Hungarian ratatuille with eggs,15,Sourdough bread,,,,,,,,,,,,,,,,
100,"Eggnoodle dish with lettuce and vinegar ""tojásos nokedli""","Small, soft dumplings coated in scrambled eggs, with a side of lettuce with a vinegar-based dressing",Egg,Lunch,Y,N,Y,Y,144,"Eggnoodle dish ""tojásos nokedli""",69,Lettuce and vinegar,,,,,,,,,,,,,,,,
101,"Layered potato casserole ""rakott krumpli""","Layered potato casserole made with sour cream, sausage, hard-boiled eggs.",Egg,Lunch,Y,Y,Y,Y,145,"Layered potato casserole ""rakott krumpli""",114,Fermented pickles,,,,,,,,,,,,,,,,
102,"Hungarian baked pasta with dairy and bacon ""túrós csusza""","A pasta dish made with quark, crispy bacon, and sour cream.",Dairy,Lunch,Y,Y,Y,Y,146,"Hungarian baked pasta with dairy and bacon ""túrós csusza""",,,,,,,,,,,,,,,,,,
103,Deep-fried cheese in breadcrumbs with sweet corn rice and salad,,Dairy,Lunch,Y,Y,Y,Y,147,Deep-fried cheese in breadcrumbs,113,Sweetcorn rice,,,,,,,,,,,,,,,,
104,Green pea soup; Sweet cottage cheese dumplings in breadcrumbs,"Cottage cheese dumplings rolled in breadcrumbs, served with sour cream and sugar",Dairy,Lunch,Y,Y,Y,Y,148,Green pea soup,117,"Sweet cottage cheese dumplings in breadcrumbs ""túrógombóc""",,,,,,,,,,,,,,,,
105,Minestrone; Hungarian pancakes stuffed with sweet cottage cheese filling,,Dairy,Lunch,N,N,Y,N,142,Minestrone,149,Hungarian pancakes stuffed with sweet cottage cheese filling,,,,,,,,,,,,,,,,
106,"Layered broccoli casserole ""rakott brokkoli""","Minced meat ragou, steamed rice and broccoli layered, topped with sour cream",Other meat,Lunch,Y,N,Y,Y,150,"Layered broccoli casserole ""rakott brokkoli""",121,Pickled beetroot,,,,,,,,,,,,,,,,
107,"Roasted catfish with rosemary, mashed potatoes and cucumber salad",Oven-baked catfish filet with butter and rosemary with cooked and mashed potatoes,Other meat,Lunch,Y,Y,Y,Y,151,Roasted catfish with rosemary,57,Mashed potatoes,218,Cucumber salad,,,,,,,,,,,,,,
108,"Catfish paprikash with baked pasta, quark, sour cream and bacon",,Other meat,Lunch,Y,Y,Y,Y,152,Catfish paprikash,146,"Hungarian baked pasta with dairy and bacon ""túrós csusza""",,,,,,,,,,,,,,,,
